iter	Logloss
0	0.6727283281
1	0.6656106793
2	0.6650878721
3	0.6618217121
4	0.659964733
5	0.6595699112
6	0.6587468284
7	0.657461617
8	0.6567917533
9	0.6559609793
10	0.6547947495
11	0.6534999444
12	0.6520375895
13	0.650503581
14	0.6491147524
15	0.6486349881
16	0.6475683266
17	0.6466010257
18	0.6450788714
19	0.644022148
20	0.6433367713
21	0.6428728233
22	0.6417605938
23	0.6409049836
24	0.6403144844
25	0.6393050758
26	0.6385024287
27	0.6376575761
28	0.6369854684
29	0.6357733543
30	0.6347831462
31	0.6338088041
32	0.6333014852
33	0.6321298208
34	0.631683065
35	0.6308178132
36	0.6299193562
37	0.6291318247
38	0.6283357651
39	0.6279522862
40	0.6270665362
41	0.6262802423
42	0.6257620951
43	0.6247233853
44	0.6240916784
45	0.6236657276
46	0.6231965117
47	0.6229289409
48	0.6227617269
49	0.6221742531
50	0.6211658833
51	0.6205698101
52	0.6201664635
53	0.6195367259
54	0.6187671006
55	0.6183592222
56	0.6172825038
57	0.6166194971
58	0.6164792814
59	0.6158258179
60	0.6151324285
61	0.6147901029
62	0.6133549744
63	0.6128003496
64	0.6123778562
65	0.6115914819
66	0.6110291311
67	0.6102509186
68	0.6095581544
69	0.6094267279
70	0.6084281051
71	0.6076466742
72	0.6063732765
73	0.6058576434
74	0.6053860039
75	0.6048202586
76	0.6038373756
77	0.6030626703
78	0.6024277419
79	0.6018517767
80	0.6011011297
81	0.60101637
82	0.5996792551
83	0.5989852707
84	0.5987962941
85	0.5982112062
86	0.5975242689
87	0.5969247513
88	0.5960895319
89	0.5953577897
90	0.5944967779
91	0.5941130151
92	0.5933727967
93	0.5930831131
94	0.5925051743
95	0.5918053314
96	0.5916755862
97	0.5907689806
98	0.5903569625
99	0.5902173128
100	0.5897865807
101	0.589258688
102	0.5884151904
103	0.5883920574
104	0.5877598945
105	0.586980243
106	0.5862436725
107	0.5857744489
108	0.5848879614
109	0.584429345
110	0.5843239589
111	0.5830308887
112	0.5826447985
113	0.5817996071
114	0.5816338548
115	0.5807202296
116	0.5802959339
117	0.5796276847
118	0.5789178724
119	0.5782791709
120	0.5776380273
121	0.5772190313
122	0.5765810359
123	0.5760029851
124	0.5755355015
125	0.5750489616
126	0.5746143344
127	0.5741396122
128	0.5731993994
129	0.5724699633
130	0.5719553731
131	0.5714254844
132	0.5701853524
133	0.569814492
134	0.5693200351
135	0.5689205182
136	0.5684748846
137	0.567810125
138	0.5665667487
139	0.5656893622
140	0.5647616765
141	0.5645229785
142	0.564068945
143	0.5635521821
144	0.5633039667
145	0.5629013702
146	0.5628430967
147	0.5623684375
148	0.561707684
149	0.5614396037
150	0.5610453608
151	0.560751246
152	0.5601754025
153	0.559282075
154	0.5590607451
155	0.5583634039
156	0.5581422635
157	0.5574763263
158	0.5570870817
159	0.5570600687
160	0.5569798321
161	0.5563091802
162	0.5558338189
163	0.5553560623
164	0.5547638006
165	0.5542922711
166	0.5536627442
167	0.5530324694
168	0.5528301093
169	0.5524099012
170	0.5521014904
171	0.5514580405
172	0.5514006214
173	0.550814364
174	0.550454038
175	0.5500071191
176	0.5494630608
177	0.5487089638
178	0.5485098138
179	0.5482684535
180	0.5479165614
181	0.5473223611
182	0.5467649648
183	0.5466154395
184	0.5465241969
185	0.5460669669
186	0.5458480776
187	0.5456065101
188	0.5455833569
189	0.5451995467
190	0.5447342268
191	0.5438691066
192	0.5435194713
193	0.5431266699
194	0.5426636963
195	0.5423238229
196	0.5417634802
197	0.5414137181
198	0.5412243479
199	0.5407708669
