iter	Passed	Remaining
0	141	28217
1	144	14346
2	148	9773
3	151	7442
4	156	6111
5	160	5174
6	163	4501
7	165	3982
8	168	3569
9	170	3240
10	172	2965
11	174	2727
12	175	2526
13	177	2354
14	178	2203
15	180	2073
16	181	1958
17	183	1854
18	184	1761
19	186	1676
20	187	1598
21	188	1528
22	190	1465
23	191	1405
24	193	1351
25	194	1300
26	195	1252
27	196	1209
28	198	1168
29	199	1129
30	200	1095
31	202	1061
32	203	1030
33	204	1000
34	206	972
35	207	945
36	208	919
37	210	895
38	211	872
39	212	850
40	213	829
41	215	810
42	216	792
43	218	774
44	219	757
45	221	740
46	222	724
47	224	709
48	225	694
49	226	680
50	227	666
51	229	652
52	230	640
53	232	628
54	233	616
55	235	605
56	237	594
57	238	583
58	239	572
59	240	562
60	242	552
61	243	542
62	244	532
63	246	523
64	247	514
65	248	505
66	250	496
67	251	488
68	252	480
69	254	472
70	255	464
71	257	457
72	258	449
73	259	442
74	261	435
75	262	428
76	264	421
77	265	415
78	267	409
79	268	403
80	270	396
81	271	390
82	272	384
83	274	378
84	275	372
85	276	367
86	278	361
87	279	355
88	281	350
89	282	345
90	283	339
91	285	334
92	286	329
93	287	324
94	289	319
95	290	314
96	291	309
97	293	305
98	294	300
99	295	295
100	297	291
101	298	286
102	299	282
103	301	278
104	302	273
105	303	269
106	305	265
107	306	261
108	308	257
109	309	253
110	310	249
111	312	245
112	313	241
113	315	237
114	316	233
115	317	230
116	319	226
117	320	222
118	321	219
119	323	215
120	324	212
121	326	208
122	327	204
123	328	201
124	330	198
125	332	195
126	333	191
127	335	188
128	336	185
129	337	181
130	338	178
131	340	175
132	342	172
133	343	169
134	345	166
135	346	163
136	347	159
137	349	156
138	350	153
139	351	150
140	352	147
141	354	144
142	355	141
143	357	138
144	358	136
145	360	133
146	361	130
147	363	127
148	365	124
149	366	122
150	368	119
151	369	116
152	371	113
153	372	111
154	373	108
155	375	105
156	376	103
157	378	100
158	379	97
159	381	95
160	383	92
161	384	90
162	386	87
163	387	85
164	388	82
165	390	79
166	391	77
167	393	74
168	394	72
169	396	69
170	397	67
171	399	65
172	400	62
173	402	60
174	404	57
175	405	55
176	407	52
177	408	50
178	409	48
179	411	45
180	413	43
181	414	40
182	415	38
183	417	36
184	418	33
185	419	31
186	421	29
187	422	26
188	424	24
189	425	22
190	426	20
191	428	17
192	429	15
193	431	13
194	432	11
195	433	8
196	435	6
197	436	4
198	438	2
199	439	0
